"Food sales totalled EUR 323.5 mn in October 2009 , representing a decrease of 5.5 % from October 2008 .",negative,food sale total eur 3235 mn october 2009  represent decrease 55  october 2008 ,0
"Raute reported a loss per share of EUR0 .86 for the first half of 2009 , against EPS of EUR0 .74 in the corresponding period of 2008 .",negative,raute report loss per share eur0 86 first half 2009  eps eur0 74 correspond period 2008 ,0
The move was triggered by weak demand for forestry equipment and the uncertain market situation .,negative,move wa trigger weak demand forestry equipment uncertain market situation ,0
The situation of coated magazine printing paper will continue to be weak .,negative,situation coat magazine print paper continue weak ,0
"Copper , lead and nickel also dropped ... HBOS ( HBOS ) plummeted 20 % to 70.3 pence after saying this year+ó ??",negative,copper  lead nickel also drop  hbos  hbos  plummet 20  703 penny say yearó ,0
"During the strike , Finnair estimates to incur a net loss of between EUR2m and EUR2 .5 m per day .",negative,strike  finnair estimate incur net loss eur2m eur2 5 per day ,0
Earnings per share ( EPS ) dropped to EUR 0.21 from EUR 0.31 .,negative,earn per share  eps  drop eur 021 eur 031 ,0
"Finnair 's passenger load factor , which measures the number of sold seats as a share of all available seats , dropped by 1.3 percentage points to 76.7 % in September .",negative,finnair passenger load factor  measure number sell seat share available seat  drop 13 percentage point 767  september ,0
"Frost sold shares for $ 19 million at $ 6.06-7 .12 per share , compared with Friday 's high of $ 11.33 and low of $ 10.14 .",negative,frost sell share  19 million  6067 12 per share  compare friday high  1133 low  1014 ,0
Glaston 's net profit for the third quarter of 2007 dropped to 2.4 mln euro ( $ 3.5 mln ) from 3.5 mln euro ( $ 5.1 mln ) for the corresponding period of 2006 .,negative,glaston net profit third quarter 2007 drop 24 mln euro   35 mln  35 mln euro   51 mln  correspond period 2006 ,0
L&T 's net profit for the whole 2010 dropped to EUR 36 million from EUR 45 million for 2009 .,negative,lt net profit whole 2010 drop eur 36 million eur 45 million 2009 ,0
"Lassila & Tikanoja 's operating profit excluding non-recurring and imputed items for the second quarter was EUR11 .3 m , down from EUR13 .8 m a year ago .",negative,lassila  tikanoja operate profit exclude nonrecurring impute item second quarter wa eur11 3  eur13 8 year ago ,0
"Net cash flow from operating activities was a negative EUR 3.1 mn , compared to EUR 23.3 mn in the corresponding period in 2009 .",negative,net cash flow operate activity wa negative eur 31 mn  compare eur 233 mn correspond period 2009 ,0
"Net cash from operating activities was a negative EUR 0.3 mn , compared to EUR 30.9 mn in 2009 .",negative,net cash operate activity wa negative eur 03 mn  compare eur 309 mn 2009 ,0
Net sales dropped by 6 % year-on-year to EUR 11.9 million .,negative,net sale drop 6  yearonyear eur 119 million ,0
Net sales have been eaten by the weak US dollar .,negative,net sale eat weak u dollar ,0
"Nordic banks have already had to write off sizable loans in Latvia , with Swedbank , Nordea , DnB NOR and SEB reporting combined losses in excess of $ 1.35 billion in the period 2007 to 2010 against a backdrop of near economic meltdown in Latvia .",negative,nordic bank already write sizable loan latvia  swedbank  nordea  dnb seb report combine loss excess  135 billion period 2007 2010 backdrop near economic meltdown latvia ,0
Okmetic expects its net sales for the first half of 2009 to be less than in 2008 .,negative,okmetic expect net sale first half 2009 le 2008 ,0
"Operating profit , excluding non-recurring items , totaled EUR 0.2 mn , down from EUR 0.8 mn in the corresponding period in 2006 .",negative,operate profit  exclude nonrecurring item  total eur 02 mn  eur 08 mn correspond period 2006 ,0
"Operating profit , excluding non-recurring items , totalled EUR 1.0 mn , down from EUR 1.6 mn .",negative,operate profit  exclude nonrecurring item  total eur 10 mn  eur 16 mn ,0
"Operating profit , excluding non-recurring items , totalled EUR 2.2 mn , down from EUR 2.7 mn in the corresponding period in 2008 .",negative,operate profit  exclude nonrecurring item  total eur 22 mn  eur 27 mn correspond period 2008 ,0
"Operating profit excluding non-recurring items amounted to EUR 40.6 mn , down from EUR 57.3 mn year-on-year .",negative,operate profit exclude nonrecurring item amount eur 406 mn  eur 573 mn yearonyear ,0
Operating profit excluding non-recurring items was EUR 7.8 million compared to EUR 11.2 million .,negative,operate profit exclude nonrecurring item wa eur 78 million compare eur 112 million ,0
Relations with the City have been further damaged by comments from Mr Ashley criticising City investors and analysts as `` cry babies '' .,negative,relation city damage comment mr ashley criticise city investor analyst  cry baby  ,0
Reported operating margin was a negative 5.9 % .,negative,report operate margin wa negative 59  ,0
Swedbank 's shares have been hardest hit of the Swedish banks by the ongoing international financial crisis .,negative,swedbank share hardest hit swedish bank ongoing international financial crisis ,0
"The currency effect had a 3.0 pct , or 20 mln euro ( $ 31.3 mln ) , negative impact on the revenue .",negative,currency effect 30 pct  20 mln euro   313 mln   negative impact revenue ,0
"The period 's sales dropped to EUR 30.6 million from EUR 38.3 million , according to the interim report , released today .",negative,period sale drop eur 306 million eur 383 million  accord interim report  release today ,0
"Therefore , the company 's 2005 result will remain weaker than that of 2004 .",negative,therefore  company 2005 result remain weaker 2004 ,0
Vaisala 's net profit for the third quarter of 2007 dropped to 3.0 mln euro ( $ 4.3 mln ) from 6.8 mln euro ( $ 9.8 mln ) for the same period of 2006 .,negative,vaisala net profit third quarter 2007 drop 30 mln euro   43 mln  68 mln euro   98 mln  period 2006 ,0
"`` The implementation of these programs has had , and will have , negative impacts on 2006 and 2007 earnings , '' Mr Meiklejohn said .",negative, implementation program ha   negative impact 2006 2007 earn   mr meiklejohn say ,0
A survey conducted by Taloustutkimus for Sampo Life shows that companies are badly prepared to losing key staff members .,negative,survey conduct taloustutkimus sampo life show company badly prepare lose key staff member ,0
"Agricultural newspaper Maaseudun Tulevaisuus had 318,000 readers , representing a decrease of 6 % .",negative,agricultural newspaper maaseudun tulevaisuus 318000 reader  represent decrease 6  ,0
"At 1411 CET , ArcelorMittal had lost 7.26 % to EUR 17.38 on Euronext Paris , coming at the lead of the blue-chip fallers .",negative,1411 cet  arcelormittal lose 726  eur 1738 euronext paris  come lead bluechip faller ,0
Cash flow from operations in January-December 2008 was a negative EUR 18.1 mn compared to EUR 39.0 mn in the corresponding period in 2007 .,negative,cash flow operation januarydecember 2008 wa negative eur 181 mn compare eur 390 mn correspond period 2007 ,0
EPS dropped to EUR0 .2 from EUR0 .3 .,negative,eps drop eur0 2 eur0 3 ,0
Kone shares dropped 4.1 percent to  x20ac 43 US$ 55.77 in Helsinki .,negative,kone share drop 41 percent  x20ac 43 u 5577 helsinki ,0
"The EU Commission said earlier it had fined ThyssenKrupp , United Technologies Corp 's Otis , Schindler AG and Kone Oyj a total of 992.3 mln eur for alleged cartel activity in the lift market going back twelve years .",negative,eu commission say earlier fin thyssenkrupp  unite technology corp otis  schindler ag kone oyj total 9923 mln eur allege cartel activity lift market go back twelve year ,0
"The period 's sales dropped to EUR30 .6 m from EUR38 .3 m , according to the interim report , released today .",negative,period sale drop eur30 6 eur38 3  accord interim report  release today ,0
"YIT lodged counter claims against Neste Oil totaling some EUR25m , primarily based on work carried out under the contract and additional costs incurred due to prolongation of the project .",negative,yit lodge counter claim neste oil total eur25m  primarily base work carry contract additional cost incur due prolongation project ,0
"` The stable outlook reflects Nokia 's strong market position in the global mobile handset market , strong cash flow generation , and very conservative balance sheet , ' said Raab .",positive, stable outlook reflect nokia strong market position global mobile handset market  strong cash flow generation  conservative balance sheet   say raab ,2
"These financing arrangements will enable the company to ensure , in line with its treasury policy , that it has sufficient financial instruments at its disposal for its potential capital requirements .",positive,finance arrangement enable company ensure  line treasury policy  ha sufficient financial instrument disposal potential capital requirement ,2
